Post ID,Post Link,Text,Date & Time,Author ID,Likes,Comments,Reposts,Hashtags,Content Type,Text Length,Time of Day
399082,https://vk.com/wall-1_399082,"С гордостью представляем обновлённый портал для разработчиков. Пользоваться документацией стало удобнее — убедитесь сами: dev.vk.com.

Появилась понятная система навигации — мы построили иерархическую структуру разделов, а также разделили документацию к продуктам и справочник API. Чтобы ориентироваться было ещё легче, добавили новый поиск по контенту и по меню. 

Старый адрес vk.com/dev продолжит работать ещё какое-то время — здесь пока останутся панель [https://vk.com/apps?act=manage|«Мои прило",2021-12-16T09:30:00,1,968,97,692,Нет,attachments:photo_text_with_link,744,Утро
397823,https://vk.com/wall-1_397823,"Выкатили небольшую фичу: теперь при отключении «Возможностей ботов» или сообщений в разделе «Управление» сообщества все старые клавиатуры будут удалены.

Например, если вы отключаете бота, то теперь пользователь не сможет нажать на старые кнопки и удивиться, почему ничего не работает.",2021-05-11T11:54:27,1,2115,41,1522,Нет,text_only,285,Утро
397761,https://vk.com/wall-1_397761,"Обновили функциональность Callback API: теперь разработчики могут отключить сервер со своей стороны. 

Чтобы это сделать, отправьте remove в ответ на уведомление о любом событии.",2021-04-21T15:00:58,1,1608,48,1148,Нет,text_only,178,День
395554,https://vk.com/wall-1_395554,"Сейчас в нашем API есть особенности, благодаря которым можно отправлять стикеры под видом граффити. Увы, используют эту возможность по-разному. Кто-то продаёт рисунки без ведома авторов, кто-то переделывает официальные стикеры, нарушая права их создателей. Чтобы такого больше не происходило, 26 октября мы остановим эту механику.

Также хотим напомнить: использовать незадокументированные возможности и баги для создания своего сервиса — не лучшее решение. Ошибки могут быть устранены в любой момент",2020-10-08T09:37:56,1,1165,633,333,Нет,text_only,646,Утро
393032,https://vk.com/wall-1_393032,"В сообществах теперь можно скрывать список подписчиков. Сделать это могут только администраторы в веб-версии ВКонтакте: управление сообществом → раздел «Участники» → опция «Список участников». 

Если настройка включена, пользователи увидят в сообществе только своих друзей и общее количество участников. Страница не будет отображаться и в профиле подписчика. Полный список вступивших останется доступен для модераторов, редакторов и администраторов. При этом настроить таргетинг на скрытых подписчико",2019-09-17T13:18:59,1,552,87,261,Нет,attachments:photo_text,901,День
392026,https://vk.com/wall-1_392026,"Добавьте новые кнопки в своего чат-бота — и получите шанс выиграть промокупоны на его продвижение ВКонтакте! 

Новые кнопки позволяют пользователям:
— отправить своё местоположение,
— сделать перевод с помощью VK Pay, 
— запустить сервис VK Mini Apps.

Используйте хотя бы одну из них в своём чат-боте — и подавайте заявку на участие в конкурсе. Для этого напишите до 22 июня любое приветственное сообщение нашему сообществу: vk.me/apiclub

Трое разработчиков новых чат-ботов получат промокупоны на 5",2019-06-07T09:44:20,1,753,160,37,Нет,attachments:photo_text,973,Утро
389441,https://vk.com/wall-1_389441,"С февраля 2019 мы ограничиваем доступ к методам секции Messages с ключом доступа пользователя.

Для разработки мессенджера на базе ВКонтакте необходимо будет получить тестовый доступ для администраторов приложения. Расширенный доступ для всех пользователей Вашего приложения можно будет получить после прохождения модерации.

Подробности в Roadmap: https://vk.com/dev/messages_api",2019-01-15T14:16:00,1,608,474,30,Нет,text_with_link,380,День
385935,https://vk.com/wall-1_385935,"Обещанного всё лето ждут.

В эту пятницу, 17 августа, мы закрываем возможность загрузки новых SWF-файлов в приложения.

До конца года поддержка Flash-приложений будет прекращена полностью.",2018-08-13T16:56:29,1,852,674,67,Нет,attachments:photo_text,188,День
342073,https://vk.com/wall-1_342073,"Упрощаем жизнь создателям ботов и тем, кто пишет на PHP: встречайте Long Poll для сообществ и новый официальный SDK.",2018-02-28T17:46:54,1,629,103,43,Нет,attachments:link_text,116,День
341972,https://vk.com/wall-1_341972,API историй открыт для всех!,2018-02-20T13:48:36,1,890,77,24,Нет,attachments:link_text,28,День
